date,temperature_2m,precipitation,rain,wind_speed_10m
2026-02-11 03:00:00,9.6,0.0,0.0,7.0
2026-02-11 04:00:00,9.1,0.0,0.0,8.5
2026-02-11 05:00:00,8.6,0.0,0.0,9.8
2026-02-11 06:00:00,9.5,0.0,0.0,10.8
2026-02-11 07:00:00,9.4,0.0,0.0,12.0
2026-02-11 08:00:00,9.2,0.1,0.1,12.3
2026-02-11 09:00:00,9.8,0.6,0.6,17.6
2026-02-11 10:00:00,10.8,0.1,0.1,16.3
2026-02-11 11:00:00,11.8,0.1,0.1,17.2
2026-02-11 12:00:00,11.1,0.0,0.0,16.7
2026-02-11 13:00:00,12.2,0.1,0.1,18.9
2026-02-11 14:00:00,11.8,1.0,1.0,15.2
2026-02-11 15:00:00,11.7,0.0,0.0,15.6
2026-02-11 16:00:00,11.1,0.0,0.0,12.1
2026-02-11 17:00:00,10.1,0.0,0.0,10.9
2026-02-11 18:00:00,9.4,0.0,0.0,9.8
2026-02-11 19:00:00,9.1,0.1,0.1,9.2
2026-02-11 20:00:00,8.6,0.2,0.2,6.7
2026-02-11 21:00:00,7.6,0.2,0.2,3.2
2026-02-11 22:00:00,7.8,0.1,0.1,1.6
2026-02-11 23:00:00,7.5,0.0,0.0,5.8
